,Failed S11,Failed S22,Failed S33,Failed S12,Failed S13,Failed S23,F11,F22,F33,F12,F13,F23,E11,E22,E33,E12,E13,E23
0,True,True,False,True,True,True,0.999943103585612,0.22172593250014677,1.0,0.31322749648827525,0.3937197905882574,0.5564191890822456,0.01575,0.01575,0.00047249999999999994,0.01575,0.00047249999999999994,0.00047249999999999994
1,True,True,False,True,True,True,0.9988934305909983,0.20558729465358272,1.0,0.16093478692265714,0.3507805701866159,0.41696309533940373,0.016,0.016,0.00047999999999999996,0.016,0.00047999999999999996,0.00047999999999999996
2,False,True,True,False,True,True,1.0,0.12864338338868161,0.7942247919521406,1.0,0.9883690612338369,0.16318569329423951,0.0095,0.0095,0.000285,0.0095,0.000285,0.000285
3,True,True,True,True,False,True,0.012024395640869611,0.1822585915449472,0.6413483845413909,0.31849263464186434,1.0,0.08101262633685068,0.02,0.02,0.0006,0.02,0.0006,0.0006
4,False,True,True,True,True,True,1.0,0.10165609865309294,0.7115234154562479,-1.0394257449632043,-0.5357404043688975,0.31512305114779154,0.02,0.02,0.0006,0.02,0.0006,0.0006
5,True,True,False,True,True,True,0.9988969083107155,0.23812633399446845,1.0,0.14293536787924147,0.37581020936821075,0.36717194053900265,0.0159,0.0159,0.00047699999999999994,0.00159,0.00047699999999999994,0.00047699999999999994
6,True,True,False,True,True,True,0.9988529565514984,0.22501048587208833,1.0,0.17706927165224876,0.37501355648390355,0.3955553779812272,0.016,0.016,0.00047999999999999996,0.0016,0.00047999999999999996,0.00047999999999999996
7,True,True,False,True,True,True,0.9841213700670142,0.2145938002776342,1.0,0.018625349925898045,-0.18533475556264456,0.251842226252203,0.0165,0.0165,0.000495,0.00165,0.000495,0.000495
8,True,True,True,False,False,True,0.011825583280723362,0.2136806057627738,0.5168443212557837,1.0,1.0,0.4444831683833501,0.02,0.02,0.0006,0.002,0.0006,0.0006
9,True,True,True,True,True,True,0.0139653787280187,0.12109090721936004,0.49382595604425034,0.2709504666119124,0.6211067240877438,0.18210499132910354,0.025,0.025,0.00075,0.0025,0.00075,0.00075
10,True,True,True,True,True,True,0.9998781815551646,0.14391222798136458,0.6600724615828677,0.2858589946884598,0.12545441170569907,0.9998218099884882,0.01575,0.001575,0.00047249999999999994,0.01575,0.00047249999999999994,0.00047249999999999994
11,True,True,True,True,True,True,0.9986028245600787,0.1631842284995127,0.610939797709877,0.18185718158766273,0.4867338270248934,0.11978536567200654,0.016,0.0016,0.00047999999999999996,0.016,0.00047999999999999996,0.00047999999999999996
12,True,True,True,True,False,False,0.5164923541909806,0.1483034929923289,0.4077257901730568,0.09557305327921035,1.0,1.0,0.0165,0.00165,0.000495,0.0165,0.000495,0.000495
13,True,True,True,True,False,True,0.009782551296215232,0.11914577722532974,0.28389101950003276,0.24477366016028684,1.0,0.5295153039869231,0.02,0.002,0.0006,0.02,0.0006,0.0006
14,False,True,True,True,True,True,1.0,0.11604474547815799,0.5963580300782501,-0.6414097884424544,-0.6956606196560355,0.6033412356140659,0.02,0.002,0.0006,0.02,0.0006,0.0006
15,True,True,True,True,True,True,0.999600692133635,0.17051617568911992,0.7071565060895065,0.269968135953266,0.3689824447627025,0.9999412500160642,0.0158,0.00158,0.00047400000000000003,0.00158,0.00047400000000000003,0.00047400000000000003
16,True,True,True,True,True,True,0.9987941410327429,0.3355618105684801,0.5791427413776874,0.24070960929250262,0.401913440227741,-2.896915320582126,0.016,0.0016,0.00047999999999999996,0.0016,0.00047999999999999996,0.00047999999999999996
17,True,True,True,True,True,True,0.9837853795618802,0.15970748377483812,0.6986032378224633,-0.3498575670036912,-0.16721419793873002,0.16249025686836047,0.0165,0.00165,0.000495,0.00165,0.000495,0.000495
